name,code,division_type,codename,province_code
Quy Nhơn,540,thành phố,thanh_pho_quy_nhon,52
An Lão,542,huyện,huyen_an_lao,52
Hoài Nhơn,543,thị xã,thi_xa_hoai_nhon,52
Hoài Ân,544,huyện,huyen_hoai_an,52
Phù Mỹ,545,huyện,huyen_phu_my,52
Vĩnh Thạnh,546,huyện,huyen_vinh_thanh,52
Tây Sơn,547,huyện,huyen_tay_son,52
Phù Cát,548,huyện,huyen_phu_cat,52
An Nhơn,549,thị xã,thi_xa_an_nhon,52
Tuy Phước,550,huyện,huyen_tuy_phuoc,52
Vân Canh,551,huyện,huyen_van_canh,52
Tuy Hoà,555,thành phố,thanh_pho_tuy_hoa,54
Sông Cầu,557,thị xã,thi_xa_song_cau,54
Đồng Xuân,558,huyện,huyen_dong_xuan,54
Tuy An,559,huyện,huyen_tuy_an,54
Sơn Hòa,560,huyện,huyen_son_hoa,54
Sông Hinh,561,huyện,huyen_song_hinh,54
Tây Hoà,562,huyện,huyen_tay_hoa,54
Phú Hoà,563,huyện,huyen_phu_hoa,54
Đông Hòa,564,thị xã,thi_xa_dong_hoa,54
Nha Trang,568,thành phố,thanh_pho_nha_trang,56
Cam Ranh,569,thành phố,thanh_pho_cam_ranh,56
Cam Lâm,570,huyện,huyen_cam_lam,56
Vạn Ninh,571,huyện,huyen_van_ninh,56
Ninh Hòa,572,thị xã,thi_xa_ninh_hoa,56
Khánh Vĩnh,573,huyện,huyen_khanh_vinh,56
Diên Khánh,574,huyện,huyen_dien_khanh,56
Khánh Sơn,575,huyện,huyen_khanh_son,56
Trường Sa,576,huyện,huyen_truong_sa,56
Tháp Chàm,582,thành phố,thanh_pho_phan_rang_thap_cham,58
Bác Ái,584,huyện,huyen_bac_ai,58
Ninh Sơn,585,huyện,huyen_ninh_son,58
Ninh Hải,586,huyện,huyen_ninh_hai,58
Ninh Phước,587,huyện,huyen_ninh_phuoc,58
Thuận Bắc,588,huyện,huyen_thuan_bac,58
Thuận Nam,589,huyện,huyen_thuan_nam,58
Phan Thiết,593,thành phố,thanh_pho_phan_thiet,60
La Gi,594,thị xã,thi_xa_la_gi,60
Tuy Phong,595,huyện,huyen_tuy_phong,60
Bắc Bình,596,huyện,huyen_bac_binh,60
Thuận Bắc,597,huyện,huyen_ham_thuan_bac,60
Thuận Nam,598,huyện,huyen_ham_thuan_nam,60
Tánh Linh,599,huyện,huyen_tanh_linh,60
Đức Linh,600,huyện,huyen_duc_linh,60
Hàm Tân,601,huyện,huyen_ham_tan,60
Phú Quí,602,huyện,huyen_phu_qui,60
Kon Tum,608,thành phố,thanh_pho_kon_tum,62
Đắk Glei,610,huyện,huyen_dak_glei,62
Ngọc Hồi,611,huyện,huyen_ngoc_hoi,62
Đắk Tô,612,huyện,huyen_dak_to,62
Kon Plông,613,huyện,huyen_kon_plong,62
Kon Rẫy,614,huyện,huyen_kon_ray,62
Đắk Hà,615,huyện,huyen_dak_ha,62
Sa Thầy,616,huyện,huyen_sa_thay,62
Mơ Rông,617,huyện,huyen_tu_mo_rong,62
H' Drai,618,huyện,huyen_ia_h_drai,62
Thành phố Pleiku,622,thành phố,thanh_pho_pleiku,64
An Khê,623,thị xã,thi_xa_an_khe,64
Ayun Pa,624,thị xã,thi_xa_ayun_pa,64
Huyện KBang,625,huyện,huyen_kbang,64
Đăk Đoa,626,huyện,huyen_dak_doa,64
Chư Păh,627,huyện,huyen_chu_pah,64
Ia Grai,628,huyện,huyen_ia_grai,64
Mang Yang,629,huyện,huyen_mang_yang,64
Kông Chro,630,huyện,huyen_kong_chro,64
Đức Cơ,631,huyện,huyen_duc_co,64
Chư Prông,632,huyện,huyen_chu_prong,64
Chư Sê,633,huyện,huyen_chu_se,64
Đăk Pơ,634,huyện,huyen_dak_po,64
Ia Pa,635,huyện,huyen_ia_pa,64
